disease,scenario,model,year,epsilon,max_l_attack,avg_attack,std_attack,max_attack_idx,delta_std,sum_attack
CHIKV,SSP2-4.5,CESM2,2060,0.6667,100.97847847702522,54.817233186092366,40.65458712848396,81,1.1354498606773635,54.817233186092366
CHIKV,SSP2-4.5,CESM2,2060,0.3333,100.98430801294613,51.15511160146605,39.82038043515876,76,1.2513490797160793,51.15511160146605
CHIKV,SSP2-4.5,CESM2,2060,0.2222,100.98927861956032,48.74839734661926,39.301567051344996,89,1.329231508878302,48.74839734661926
CHIKV,SSP2-4.5,CESM2,2060,0.1667,100.99255794322684,46.547754325807276,38.85944145809352,89,1.4010701537265655,46.547754325807276
CHIKV,SSP2-4.5,CESM2,2060,0.1333,100.99525846813664,44.91630463699,38.43673168982937,89,1.4589938156990991,44.91630463699
CHIKV,SSP2-4.5,CESM2,2060,0.8,100.9806775491955,55.29014045034305,40.90288654194416,81,1.1170492100111018,55.29014045034305
CHIKV,SSP2-4.5,CESM2,2060,0.4,100.98171162273069,52.12067605690062,40.069009349826786,76,1.2194221009869137,52.12067605690062
CHIKV,SSP2-4.5,CESM2,2060,0.2667,100.98596921593841,49.77647131320845,39.454865067617774,89,1.297926068558772,49.77647131320845
CHIKV,SSP2-4.5,CESM2,2060,0.2,100.9899063070154,47.95034442218137,39.09896464371089,89,1.3565464550828075,47.95034442218137
CHIKV,SSP2-4.5,CESM2,2060,0.16,100.99259394152507,46.44761063792989,38.72876679488224,89,1.408384201657641,46.44761063792989
CHIKV,SSP2-4.5,CESM2,2060,0.0001,101.02666643240623,53.584848524732315,39.505991738282134,90,1.2008765207557566,53.584848524732315
CHIKV,SSP2-4.5,CESM2,2060,0.5,100.97968380829185,53.63451243205837,40.43043706841067,76,1.17102793858307,53.63451243205837
CHIKV,SSP2-4.5,CESM2,2060,1.0,100.98093167919929,56.14470327695916,41.170980605806676,81,1.0890250303126496,56.14470327695916
CHIKV,SSP2-4.5,CESM2,2060,10.0,100.97944547029643,49.152011505312515,41.98462874835373,81,1.234438305400429,49.152011505312515
CHIKV,SSP2-4.5,CESM2,2060,100.0,100.9862911189969,34.24199452744578,40.17573942323619,93,1.6613084799367412,34.24199452744578
